,ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
0,773153107,42,31,143,19052,2,"3,4",3,510,1,1,1,1,0
1,295010557,28,30,196,55911,2,"8,3",1,0,0,0,0,1,1
2,475410988,27,36,26,90925,4,"0,5",1,0,0,1,0,1,0
3,421328571,26,38,73,31930,3,"2,4",1,0,0,0,0,0,1
4,646285693,23,6,101,57866,1,"3,3",1,221,1,1,1,1,0
5,338679141,24,14,110,81133,1,"6,2",2,1,1,0,1,1,0
6,414134982,62,25,145,37211,3,2,2,0,0,0,0,1,0
7,994328929,32,36,96,2409,3,"1,3",2,0,0,1,0,1,0
8,564014305,48,28,130,6171,1,"0,3",1,0,0,0,0,1,1
9,903892633,41,18,46,97446,4,"0,2",1,0,0,0,0,1,1
10,976807058,24,-3,21,88016,4,"0,6",3,1,1,0,0,0,0
11,184199914,61,13,23,45321,1,0,1,0,0,0,0,0,0
12,45953930,26,8,79,35417,4,"0,2",2,0,0,0,0,1,1
13,615241455,61,34,53,34915,1,"1,8",2,0,0,0,0,0,0
14,536345270,31,36,10,47890,1,"5,4",2,0,0,0,0,0,0
15,698722697,30,25,177,47264,4,"0,9",1,473,1,0,1,0,1
16,920985165,56,11,38,33694,4,"1,5",1,0,0,0,0,0,0
17,814845377,26,25,110,65196,2,"0,6",1,0,0,0,0,0,0
18,279376848,55,23,36,12270,1,"0,3",1,0,0,0,0,1,0
19,716534638,46,34,21,70234,1,"0,6",2,0,0,1,0,0,0
20,501196269,31,19,25,89851,1,"3,9",1,0,0,0,0,1,1
21,390790655,24,2,25,2260,4,"0,5",2,0,0,1,0,1,1
22,533879268,27,-2,112,73498,4,"2,4",1,223,0,1,0,0,0
23,536663406,27,8,61,67219,3,"0,4",1,0,0,0,0,0,1
24,474868702,59,27,81,4058,4,2,2,0,0,0,1,1,1
25,288005119,43,29,9,41748,3,"4,7",1,2,0,1,0,1,0
26,938637451,61,35,115,26289,1,"0,5",2,0,0,0,0,0,1
27,931146729,29,31,149,19262,1,6,1,124,1,0,1,1,1
28,423973815,55,32,17,18131,1,"3,1",1,0,0,1,0,1,0
29,29619902,54,24,135,92295,3,"0,2",2,1,0,0,0,1,1
30,551208914,62,4,71,96108,1,"0,7",1,0,0,0,0,1,0
31,52422324,39,38,35,53680,3,"2,1",1,0,0,0,0,0,0
32,869124098,30,33,31,39636,4,"0,1",2,0,0,1,0,0,0
33,24621784,37,18,180,58449,4,"0,2",2,294,1,0,1,0,0
34,570288331,31,8,114,56896,2,2,1,1,0,1,0,1,1
35,417011654,52,39,69,80821,4,"0,6",2,0,0,0,0,1,0
36,122142139,54,32,22,64634,2,"4,1",1,389,0,0,0,0,1
37,803804775,50,21,23,25731,2,"6,9",1,0,0,0,0,0,1
38,936119197,62,18,170,75847,4,"1,2",3,0,0,1,0,0,0
39,43057537,60,31,120,12531,1,"0,3",1,0,0,1,0,0,1
40,353882151,51,25,109,35983,1,"3,9",1,0,0,1,0,0,0
41,400409928,54,1,32,59464,1,"2,8",1,0,0,0,0,1,0
42,532974905,28,30,11,70394,3,"4,3",2,0,0,0,1,0,1
43,621407797,66,25,105,42173,1,"1,8",3,0,0,0,0,0,1
44,222829580,48,18,36,69457,1,"0,1",3,192,0,0,0,0,1
45,873106667,61,21,146,43967,4,"1,8",1,0,1,1,0,0,0
46,70456297,57,14,120,46058,4,"1,67",1,2,0,0,0,1,0
47,236502513,58,22,202,18885,4,"4,7",3,0,1,0,0,0,0
48,153232998,46,25,17,63671,4,"0,7",1,87,0,0,0,0,0
49,455103047,64,40,112,92774,1,"0,8",1,0,0,1,0,0,0
50,112178439,53,9,139,2001,4,"5,8",1,0,0,1,0,1,0
51,567558712,48,11,82,51217,1,"2,5",2,1,0,0,0,0,0
52,792967421,59,21,91,57094,1,"1,7",1,0,0,0,0,0,0
53,443889653,42,-2,36,57347,2,1,1,0,0,0,0,0,1
54,720698751,38,16,197,50383,1,"0,9",2,361,1,0,1,0,0
55,806573337,41,-1,171,73632,4,"3,4",1,1,0,0,1,1,1
56,803132838,23,13,42,49226,1,"4,7",1,408,0,1,0,0,0
57,633473682,53,33,27,52952,3,"1,1",2,0,0,1,0,0,0
58,309549177,36,-2,22,81944,4,2,3,157,0,0,0,0,1
59,524910760,66,25,9,32356,2,"7,2",2,130,0,1,0,1,1
60,994168562,49,19,46,21147,3,"1,4",2,1,0,0,0,1,0
61,314551818,64,25,31,96272,3,"1,3",1,1,0,1,0,1,0
62,582655249,40,21,32,42018,3,"2,2",2,0,0,1,0,1,1
63,928882043,57,12,171,12904,2,"0,2",1,212,0,0,0,1,0
64,338505405,50,35,45,20896,1,"2,8",1,0,0,0,0,1,0
65,857655614,59,36,74,11829,1,"3,5",1,0,0,0,0,0,0
66,282040890,43,11,132,87111,1,"0,2",3,0,0,0,0,1,1
67,567602615,45,19,126,76242,3,"2,2",2,0,0,1,0,1,0
68,773164457,43,8,30,29275,4,"0,5",1,234,0,1,1,1,1
69,646741079,35,9,59,64055,2,"0,9",1,1,0,1,0,1,0
70,128072178,59,29,117,97492,3,"5,2",2,0,0,1,0,1,1
71,7694449,26,-1,51,46173,1,0,1,111,0,0,0,0,0
72,555464344,62,18,48,98917,2,"2,6",2,0,0,0,0,1,0
73,341460515,28,9,28,2859,1,"3,3",3,0,0,1,0,1,0
74,795251264,60,26,39,64766,1,"0,1",3,0,0,0,0,1,1
75,451125534,61,16,72,79389,2,"2,2",2,217,0,0,0,0,0
76,172957446,49,5,43,43330,1,"1,9",2,0,0,0,0,0,0
77,367019294,55,38,23,95603,3,"1,1",1,1,0,0,0,0,0
78,885657599,45,32,36,34841,4,"2,6",2,233,0,1,0,0,0
79,414699734,64,31,49,7695,2,1,2,0,0,0,0,1,0
80,512335734,27,1,32,65527,4,"1,2",2,124,0,0,0,1,1
81,566809859,52,9,129,43405,1,"0,2",1,0,0,0,0,1,1
82,102208685,49,20,30,46932,4,"2,6",1,0,0,0,0,1,0
83,939703342,37,11,30,10270,4,"1,3",2,0,0,0,0,0,0
84,297033652,55,26,108,72252,1,"0,5",1,0,0,0,0,1,1
85,897085124,30,21,24,92878,2,"0,3",1,0,0,0,1,1,0
86,424155623,56,13,24,69641,3,"0,1",1,0,0,0,0,1,1
87,396380509,63,13,93,21624,2,"2,4",1,0,0,0,0,1,0
88,934213225,25,18,29,87511,2,"0,2",2,0,0,1,0,0,1
89,308664075,54,37,39,98694,1,"0,8",3,0,0,0,0,1,0
90,14039525,33,3,56,13569,4,"1,3",2,1,0,0,0,0,0
91,690653415,50,33,17,48792,4,"1,8",2,0,0,0,0,0,1
92,368873996,55,4,100,3246,4,"0,7",2,0,0,0,0,1,0
93,865566052,51,28,40,39362,4,"0,8",1,0,0,0,0,1,0
94,751129254,46,11,124,75785,1,"1,2",1,101,0,0,0,1,0
95,192569005,66,30,108,40244,2,2,1,1,0,1,0,1,0
96,960388574,59,9,45,69905,4,"1,2",3,0,0,1,0,1,0
97,685786765,66,40,28,70120,4,"1,2",3,222,0,1,0,0,0
98,413990076,48,16,72,23863,1,4,1,1,0,1,1,1,0
99,461969586,25,39,37,36320,1,"0,2",3,0,0,0,0,0,0
100,81300061,47,35,41,32625,2,"0,4",1,101,0,0,0,0,0
101,987662739,63,33,81,97362,4,"3,4",2,0,0,1,0,1,1
102,491313026,61,33,123,57205,4,"5,1",3,1,0,0,0,1,1
103,881262456,42,23,16,72695,1,"6,2",1,0,0,1,0,1,0
104,429570439,37,38,14,50550,3,1,2,0,0,1,0,1,0
105,338710580,57,25,15,10361,3,"0,6",1,0,0,0,0,0,0
106,277009970,49,23,37,8622,3,"1,8",3,0,0,0,0,0,0
107,58782127,55,31,59,31713,4,"2,3",2,0,0,0,0,1,0
108,694264100,60,9,56,29426,1,"1,6",1,0,0,0,0,1,0
109,140759683,29,9,170,49488,1,6,1,0,1,0,0,0,0
