Age;Experience;Income;ZIP Code;Family;CCAvg;Education;Mortgage;Personal Loan;Securities Account;CD Account;Online
29,55244604;5,811829407;43;92074,62371;1;2;2;0;0;1;1;1
23,31737603;-1,759707513;9,530910325;90639,3517;3;1;2;0;0;0;0;0
45;18;28;94553,46762;1;15;3;101;0;0;0;1
27,20651999;7;8;95917,79278;4;1;1;0;0;0;0;0
48,4339792;21,22641317;59,76205489;94007,42999;1;49;2;0;0;0;0;1
30;3,926423771;110,86244;91320,66896;2;23;1;0;0;1;0;1
37;10,31697688;33,21685965;90747,17239;3;25;1;0;0;0;0;1
63;38,59988554;64,98537912;92146,80409;1;0;2;0;0;1;0;1
23,30411055;-2,947252372;31,25728383;96651;1;9;3;123;0;0;0;1
36,06855793;13;46,46528651;92005,35993;1;1;1;0;0;0;0;1
60;32,83043352;73,43607068;95002,9562;2;7;2;0;0;0;0;0
49;24;58,2187037;92703,79457;2;7;2;0;0;0;0;1
52,42765628;28,16325569;27,23863605;94697,15828;2;5;2;0;0;0;0;1
30,97399041;6;8;94609,64596;4;7;2;0;0;1;0;1
23,00290519;-2,882910224;51,58942544;94338,95619;2;1;2;0;0;0;0;0
64,29138672;38,92299942;171,4620575;94042,86159;2;3;1;0;0;0;0;1
51;28;28,06702375;94304,77896;4;0;2;0;0;0;0;1
67;43;97,89311711;90300,66846;4;24;3;215;0;0;1;0
23;-3;8;90264,9436;4;26;1;84;0;1;0;1
39;12,01433734;30,46685517;90823,10347;1;14;3;0;0;0;0;1
32;6;33,12820463;95785,83776;1;24;3;0;0;0;0;1
45;18;52,24663219;90024,68578;1;14;3;0;0;0;0;1
38;13;42,89477799;94105,19049;4;17;1;0;0;0;0;0
57;32;8;94305,59435;4;1;3;0;0;0;0;1
49;20,86885574;38,57465903;92816,65287;1;5;3;0;0;0;0;1
57;27;31,57610355;94302,06205;4;1;2;0;0;0;0;1
42;17;43,9729929;90085,92057;3;1;2;0;0;0;0;1
54,21312465;30,9408687;8,059041495;90039,48126;4;4;3;0;0;0;0;1
32;5;63,81334267;91315,1386;4;21;3;0;0;0;0;1
38,28897548;7,512389677;78,32917143;95820,86299;1;7;3;0;0;0;0;1
42,65870856;18;64,87898008;94019,10236;1;3;1;0;0;0;0;1
56;29,31554309;70,16513159;92030,39966;1;5;3;0;0;0;0;0
39;14,19491326;182,0669455;94305;1;38;1;0;0;0;0;0
58;34;92,32635588;91378,13184;1;2;1;0;0;0;0;1
65,08411527;38;74,60151766;95616;2;2;1;0;0;0;0;1
34;7;73,97757048;94617,07628;4;26;3;0;0;0;0;1
53;27;86,91613852;94974,63128;1;29;1;307;0;0;0;0
50;28;66,98625203;94541,49875;2;32;1;0;0;0;0;1
60,93883231;35;130,6773512;92105,59937;1;24;1;0;0;0;0;1
43;17;181,4975592;94717,2173;2;78;1;246;0;0;1;1
54;27;99,92974931;95539,39351;2;28;1;0;0;0;0;1
58;31,10624057;28;94608,57835;3;1;2;0;0;0;0;1
39;10,99448297;139,9690583;95031,15297;1;2;1;0;0;0;0;0
61;36;138,1239874;90528,25844;1;9;1;0;0;0;0;0
53;28,42349995;36,18151317;95563,38603;3;15;1;0;0;0;0;1
32;7,900321149;85;92810,30857;1;24;1;84;1;0;0;1
63,40800797;38,58372768;69,47487051;95034,33429;4;24;3;0;0;0;0;1
44;19,3003946;44;92108,51482;3;9;3;0;0;0;0;0
35;9,780994403;78,52694737;93105,07584;3;72;1;0;0;0;0;1
23,07759107;-1,905819006;8;96392,4655;4;7;1;0;0;0;0;0
53;27;112,8685709;94539,43487;1;49;1;81;0;0;0;0
53;26,89535448;62,36630344;94138,98571;3;7;2;0;0;0;0;1
44;16;44,94921708;93107,68836;1;15;2;0;0;0;0;1
57,75961806;32;41,58529566;92025,64526;3;21;3;0;0;0;0;1
33,39875749;10;73,57708841;95689,52092;2;24;2;0;0;0;0;0
58;35;74,06344364;92068,78273;2;6;2;0;0;0;0;0
44;19;14,27952812;93274,83547;4;5;2;0;0;0;0;0
31;7,816252996;109,8206358;92064,47129;3;26;2;165;0;0;0;1
23;-3;30;95620,21101;3;24;2;0;0;0;0;1
47,23123462;21;38;94099,58414;2;14;3;0;0;0;0;0
42;18;49,09072505;92670,26927;2;6;2;0;0;0;0;1
59;34;66,8046351;90095;3;1;3;0;0;0;0;0
61,39573306;36;79,78971257;94076,22632;4;6;1;0;1;0;0;1
67;43;167,6695037;9307;4;17;3;215;0;0;1;0
61;35;128,0744861;95133,61138;1;8;3;0;0;0;0;0
44;17;45,35880497;95017,56931;1;3;3;0;0;0;0;1
33,72398021;6,084961542;73,73853773;93106,89756;1;3;3;0;0;0;0;0
63,42676279;39,63338474;12,32246781;94720;1;3;1;0;0;0;0;1
29,7447239;5;83;90795,65947;2;25;1;0;0;0;0;1
37;10;29,27307974;94705,61618;4;21;3;0;0;1;1;1
34;8,78298481;63,62645225;92099,16951;4;22;1;0;0;0;0;1
58,04706446;35;58,93316044;92385,69212;1;12;3;0;0;0;0;1
31;5;31,23961825;95751,82182;2;7;3;0;0;0;0;0
26,41668099;1,670654595;9,717346863;95884,33139;4;4;1;0;0;0;0;1
38,39777841;8,007927949;39;90090,16929;4;15;3;0;0;0;0;0
55,71371352;32;72,60947589;94105,09814;4;18;3;0;0;0;0;1
53;27,04856185;69,45575308;90024,12835;3;14;1;0;0;0;0;1
38,98919649;11,78555266;131,0110166;95020,72734;2;8;1;132;0;0;0;1
38;8,208012236;64,38937408;92670,80389;2;25;1;184;0;0;0;1
39;15;54,85475949;94014,48198;4;18;3;0;0;1;1;1
23;-3;8;96651;1;7;1;0;0;0;0;0
29;3;186,9974077;90723,77888;1;633;1;0;0;0;0;1
33,66204092;6;44;94140,67145;4;17;1;185;0;1;0;1
63,59763187;39,86986982;149,5358402;95465,71937;4;17;2;0;0;0;0;0
39;11;93,33296038;95051,17896;4;48;3;0;1;0;0;1
46;21;53;92650,74303;1;18;3;0;0;0;0;0
39;13,26781838;30,61218707;90036,05278;4;2;1;97;0;0;0;1
51;25;128,6065204;93107,54754;2;31;2;0;1;0;0;1
30;3,913518646;69,10977006;90095;3;3;3;0;0;0;0;0
57,87441428;32,92771029;64,85485616;94540,08836;4;7;1;87;0;0;0;0
60;35;58,15884814;96301,27059;1;13;1;0;0;0;0;1
50;24;79,21569165;95022,45514;2;17;1;0;0;0;0;0
65;39,42165152;174,7812882;91313,5092;1;54;2;0;1;0;1;1
46;26;8,0003003;94981,55994;2;0;1;89;0;0;0;1
23;-3;8;96651;4;26;1;84;0;1;0;1
45,03849307;20;40,39422552;95616;3;267;2;0;0;0;0;1
62;35,54289203;48,71921021;94026,38495;3;24;1;0;0;1;0;0
44;18,52669891;61,11130375;94716,33685;2;7;1;0;0;1;0;0
42;16;90,36478433;67185,84773;1;46;1;0;0;0;0;1
67;43;169,2956385;13618,05628;4;17;3;215;0;0;1;0
47,26536956;22;31,556024;90586,11974;4;25;1;0;0;0;0;1
23,16934281;-2,2873826;73,59937445;90387,39382;4;21;3;218;0;0;0;1
32;6,958954732;43,78316905;95739,16056;3;6;2;0;0;0;1;1
64,06182472;40;22,73510308;95022,71254;2;1;3;0;0;0;0;1
43,55021658;18;58,88369187;93983,1907;3;3;2;92;0;0;0;0
66,33701132;40,47684878;70,89810746;92121,80086;4;22;1;0;0;0;0;1
30;6,251333685;84,69681902;90798,74934;4;2;2;0;0;0;0;0
62;37,79027006;64,16983806;92113,53533;4;13;3;0;0;0;0;1
57;32;23;90639,81526;4;7;2;0;0;0;0;1
56;26;101,1143641;93429,09401;1;0;1;0;0;0;0;0
25,01687757;0,695065066;135,0190617;94720;4;17;2;0;1;0;0;1
67;42,99907717;8,704875386;91747,58741;3;1;1;148;0;1;0;0
24,83219074;1;189,7160028;94705,52532;1;633;1;0;0;0;0;0
53;28;35,88078922;90045,10721;4;4;2;0;0;0;0;0
31;6,460587113;55,42730987;94066,02006;3;1;3;0;0;0;0;1
46,67135366;22;48,71381023;95821,61832;3;9;3;151;0;0;0;1
28;3;8;94305;4;7;2;0;0;1;0;0
63,43294637;38;13,39092097;92109,08006;4;4;2;86;0;0;0;1
50;22,22094597;15,92576986;95496,99709;2;3;2;0;0;0;0;1
23,97081868;-1,896465427;210,516934;94502,7844;1;633;1;0;0;0;0;1
39,08651553;13,49208101;29,62675568;94308,36453;2;2;1;0;0;0;0;1
63;37,31814477;38,07270605;94111,88706;4;1;1;0;0;0;0;1
36;11,04047873;59,89531677;95577,8043;4;24;1;0;0;0;0;0
58;30;53;95635,97973;4;22;3;0;0;0;0;0
26,55201653;2;43,00058085;95782,64131;4;6;2;0;0;0;0;0
63;38;21;94303,33328;2;1;2;0;0;0;0;1
65;40,64348201;89,64973588;90725,09918;2;4;1;0;0;0;0;0
32;7;60,24767793;95006,63482;1;25;2;230;0;1;0;0
28,26097259;3;108,2590162;94391,52583;2;2;1;0;0;0;0;1
23;-3;8;96651;1;7;1;0;0;0;0;0
66,47296818;41,56948634;8,018707022;95934,6772;1;5;2;0;0;0;0;1
37;8,003919274;39,25698376;93391,70068;1;67;3;0;0;0;0;1
