ZIP Code,Family,CCAvg,Education,CreditCard
91107,4,1.6,1,0
90089,3,1.5,1,0
94720,1,1.0,1,0
94112,1,2.7,2,0
91330,4,1.0,2,1
92121,4,0.4,2,0
91711,2,1.5,2,0
93943,1,0.3,3,1
90089,3,0.6,2,0
93023,1,8.9,3,0
94710,4,2.4,3,0
90277,3,0.1,2,0
93106,2,3.8,3,0
94920,4,2.5,2,0
91741,1,2.0,1,0
95054,1,1.5,3,1
95010,4,4.7,3,0
94305,4,2.4,1,0
91604,2,8.1,3,0
94720,1,0.5,2,1
94015,4,0.9,2,0
90095,3,2.0,3,0
90277,1,1.2,1,0
91320,2,0.7,1,0
95521,2,3.9,1,1
94305,3,0.5,1,0
95064,4,0.2,3,0
90064,1,2.4,1,1
94539,1,2.2,3,1
94104,1,3.3,2,1
93106,1,1.2,3,0
94117,1,2.0,2,0
94801,2,0.6,3,0
91330,3,0.9,3,0
94035,4,1.8,3,0
92647,3,0.7,1,0
94720,1,2.9,1,1
95814,1,1.4,3,0
94114,3,5.0,3,0
94115,4,0.7,3,0
92672,3,1.6,3,0
94122,3,2.3,1,0
90019,4,1.1,2,0
95616,1,0.7,1,0
94065,1,5.7,1,1
94720,4,2.5,1,1
95014,3,0.7,2,0
91380,4,0.2,3,1
95747,2,4.5,3,1
92373,1,1.8,1,1
92093,4,0.7,2,0
94720,1,2.9,1,0
94005,1,0.1,1,0
90245,3,2.1,3,0
95819,1,0.2,3,0
94022,2,8.0,1,0
94005,3,0.1,2,0
95616,2,1.2,3,0
94065,2,0.2,1,0
91320,2,4.5,1,0
90404,3,1.7,2,0
93407,1,5.7,1,0
90089,1,1.0,1,0
94523,4,0.0,2,0
90024,2,3.3,1,0
91360,1,3.8,1,1
95670,2,2.8,1,0
95123,4,2.0,3,0
93407,3,2.1,1,1
90045,4,0.2,1,0
91335,1,3.5,1,1
93907,4,1.0,2,0
92007,1,5.0,1,1
94606,1,4.0,3,1
94611,2,3.3,1,1
94901,4,3.8,2,1
91320,3,0.3,3,0
92220,3,0.5,2,0
93305,2,2.6,3,0
94720,2,0.4,1,0
95134,4,1.3,1,1
94612,3,2.7,2,0
92507,1,4.0,3,0
94305,1,2.4,2,0
91730,1,0.9,3,0
94005,4,1.8,3,0
94501,4,2.2,2,0
94305,3,1.1,1,0
94117,2,1.1,1,0
94303,4,2.3,3,1
90277,4,5.6,2,0
94105,4,1.1,3,0
94305,3,0.6,2,0
94550,2,1.7,3,0
92612,1,2.0,1,0
95617,4,0.2,3,0
95014,1,5.2,1,0
92121,1,2.9,1,0
92374,1,0.3,1,0
91711,3,0.1,3,0
94080,1,1.2,1,0
94608,3,1.3,2,0
