Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
155,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
104,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,1
134,1,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,1
111,0,0,0,1,0
0,0,0,0,1,0
260,0,0,0,1,0
163,0,1,0,0,0
159,0,0,0,0,1
97,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,1,1
0,1,0,1,1,1
122,0,0,0,1,0
0,0,0,0,1,0
193,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,1
198,0,0,0,0,0
0,1,1,1,1,0
285,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,0
412,1,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,0,1
153,0,0,0,1,0
211,1,1,1,1,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,1,0
207,0,0,0,0,0
240,1,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,1,1,0
0,1,0,0,0,0
0,0,0,0,0,0
455,0,0,0,0,0
0,0,1,0,1,0
112,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,1
336,0,0,0,0,0
132,0,1,0,0,0
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,0,1
0,1,0,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
118,0,0,0,1,0
174,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
126,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,1,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
236,0,1,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
198,0,0,0,1,1
0,0,0,0,1,0
166,0,0,0,1,1
0,0,1,0,1,0
0,0,0,0,1,1
136,0,0,0,0,0
166,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
309,0,0,0,0,0
103,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
193,0,0,0,1,0
0,0,0,0,1,0
366,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,1,0,0,0
118,0,0,0,1,0
0,0,0,0,1,0
101,0,0,0,1,1
251,0,0,0,1,0
0,0,1,0,1,0
0,0,0,0,0,1
276,0,0,0,1,0
0,1,0,1,1,1
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,0,0
0,0,1,1,0,1
0,0,0,0,1,0
161,0,0,0,1,1
149,0,0,0,1,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,1
188,0,0,0,1,0
116,0,0,0,1,0
0,0,0,0,0,0
0,0,0,1,1,1
0,1,0,0,0,1
0,0,0,0,1,1
0,0,1,1,1,1
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,1,1
0,0,1,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
0,1,0,0,1,0
0,0,1,0,1,0
135,0,0,0,1,0
244,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,1,0
164,0,0,0,1,0
81,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,1,0
0,0,1,0,1,0
0,0,0,0,1,0
0,0,0,0,1,1
315,1,0,0,1,0
122,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
140,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,1,0
95,0,1,0,1,0
0,0,0,0,0,1
89,0,0,0,1,0
90,0,1,0,1,0
0,1,0,1,1,1
0,0,0,0,1,1
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,1,0
105,0,0,0,0,0
100,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,0
0,0,0,0,1,1
282,1,0,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
209,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
249,0,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
91,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,1,1,1
98,0,1,1,0,1
145,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
135,0,0,0,0,0
0,0,0,0,1,0
150,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,0,0
169,0,0,0,0,0
0,0,0,0,0,1
280,0,0,0,0,0
99,1,0,1,1,0
78,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,1
111,1,1,1,1,0
264,0,0,0,1,1
113,0,0,0,0,1
117,0,0,0,0,0
325,1,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,0
121,1,0,0,1,0
138,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
77,0,0,0,1,0
0,0,0,0,0,1
251,1,0,0,1,0
0,0,0,1,1,1
112,0,0,0,1,1
0,0,0,0,0,0
98,0,1,0,0,0
0,0,0,0,1,0
138,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
158,0,0,0,1,1
0,0,0,0,1,0
0,0,1,0,0,1
0,0,1,0,0,0
109,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
164,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,1,0
0,0,0,0,1,0
